Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
CA241136  ,404,2024,1,102301,2024,1,384,0,NULL,3,2,0,0.6667,6.28,4,4,0,1,8.52,7,6,0,0.8571,7.4,68.4,1,10,1,0,0,1,0,0,1,0,0,0,0,0,2,0
CA241194,219,2024,1,102301,2024,1,285,0,NULL,3,3,0,1,9.03,3,0,0,0,0,6,3,0,0.5,4.51,8.9,0,10,0,3,1,1,1,1,1,0,1,1,0,0,6,1
CA241367,219,2024,1,102302,2024,1,357,0,NULL,3,3,0,1,8.59,4,4,0,1,8.29,7,7,0,1,8.44,42.9,1.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA241370  ,206,2024,1,102302,2024,1,245,0,NULL,3,3,0,1,8.58,3,3,0,1,9.01,6,6,0,1,8.8,40.5,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA241447,209,2024,2,102302,2024,1,176,0,NULL,5,4,0,0.8,6.94,3,3,0,1,7.51,8,7,0,0.875,7.22,8.1,1.5,10,1,0,1,1,0,1,1,0,0,1,0,0,4,0
CA241481  ,701,2024,1,102301,2024,1,471,0,NULL,5,5,0,1,7.94,6,5,0,0.8333,6.78,11,10,0,0.9091,7.36,87.6,1,10,2,0,0,1,0,0,1,1,0,0,0,0,3,0
CA241656,209,2024,1,102302,2024,1,319,0,NULL,5,3,2,0.6,6.26,3,3,0,1,8.65,8,6,2,0.75,7.45,43.5,0.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA241822,609,2024,2,102301,2024,1,18,0,NULL,4,4,0,1,9.39,4,4,0,1,9.27,8,8,0,1,9.33,100,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA241952,906,2024,9,102302,2024,1,481,0,NULL,3,0,3,0,0,NULL,NULL,NULL,NULL,NULL,3,0,3,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,0,0,4,1
CA242128,102,2024,1,102301,2024,1,1156,0,NULL,4,0,0,0,0,4,1,3,0.25,3.71,8,1,3,0.125,1.86,1.9,0,10,0,4,0,1,1,1,1,0,1,0,0,0,5,1
CA242249  ,904,2024,9,102301,2024,1,285,0,NULL,4,2,0,0.5,4.04,5,4,1,0.8,6.82,9,6,1,0.6667,5.43,54.5,4.35,10,2,0,0,1,1,0,1,1,0,0,0,0,4,0
CA242254,903,2024,9,102301,2024,1,150,0,NULL,5,5,0,1,7.59,5,3,2,0.6,6.03,10,8,2,0.8,6.81,18.2,7.5,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CA242463,914,2024,9,102301,2024,1,312,0,NULL,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,0,0,0,0,0,0,5,0,4,0,1,1,1,1,0,1,0,0,0,5,1
CA242478  ,903,2024,9,102301,2024,1,18,0,NULL,5,5,0,1,9.43,5,5,0,1,8.89,10,10,0,1,9.16,61.4,5.24,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
